time,open,high,low,close,volume
1785301200,4019.54,4029.52,4019.13,4025.15,7.30049270
1785304800,4026.20,4035.61,4026.20,4033.51,18.72589088
1785308400,4033.36,4038.98,4033.36,4035.28,1.49739580
1785312000,4035.79,4035.80,4028.50,4030.14,0.21010559
1785315600,4029.50,4029.50,4026.50,4026.51,0.74476963
1785319200,4026.51,4026.51,4019.22,4020.01,4.60275295
1785322800,4020.92,4027.81,4020.00,4025.81,0.97102072
1785326400,4024.12,4024.95,4004.71,4013.65,1.11162773
1785330000,4017.18,4017.43,3998.00,4000.91,7.95326105
1785333600,4002.06,4004.51,3993.20,4001.07,2.42139839
1785337200,4001.59,4008.41,4001.11,4007.59,0.33262656
1785340800,4004.74,4024.10,4003.49,4023.35,3.03490559
1785344400,4021.65,4041.10,4021.65,4034.57,6.09002881
1785348000,4038.85,4097.72,4038.85,4096.99,63.11302842
1785351600,4096.00,4103.46,4039.30,4039.30,15.65164788
1785355200,4039.70,4059.60,4039.30,4059.60,3.42639560
1785358800,4058.94,4059.40,4054.84,4056.67,2.84651887
1785362400,4060.18,4080.19,4055.95,4080.19,9.39587977
1785366000,4081.72,4088.49,4076.46,4076.46,6.49505200
1785369600,4076.46,4077.99,4059.10,4060.85,103.04627824
1785373200,4066.32,4081.72,4066.32,4078.69,12.65965313
1785376800,4080.76,4080.98,4064.50,4064.70,31.77582434
1785380400,4059.10,4061.44,4046.84,4052.51,0.64027135
1785384000,4052.50,4052.50,4043.15,4043.15,0.07540039
1785387600,4039.96,4045.90,4026.89,4031.37,1.54114861
1785391200,4030.69,4035.09,4028.33,4030.47,3.15740359
1785394800,4032.92,4045.72,4032.92,4036.19,3.96118881
1785398400,4034.21,4065.29,4034.21,4056.49,2.05352244
1785402000,4060.30,4063.37,4055.87,4059.66,0.96962328
1785405600,4058.98,4075.39,4058.98,4072.21,0.61281476
1785409200,4072.48,4075.00,4070.51,4071.91,0.44079186
1785412800,4072.12,4074.74,4064.00,4064.75,112.35272529
1785416400,4063.70,4099.85,4062.00,4099.85,4.91638690
1785420000,4102.29,4111.42,4082.49,4090.66,10.23923289
1785423600,4092.68,4100.89,4079.39,4100.34,1.74836751
1785427200,4099.56,4108.92,4099.56,4100.61,8.18466371
1785430800,4101.06,4101.74,4093.49,4095.97,2.88522019
1785434400,4096.01,4098.70,4091.73,4091.73,0.41345744
1785438000,4092.13,4105.09,4092.13,4102.48,3.52728239
1785441600,4103.54,4107.36,4094.60,4096.23,3.31426135
1785445200,4097.67,4100.67,4094.51,4100.67,3.09083921
1785448800,4099.29,4102.01,4096.68,4102.01,0.19983650
1785452400,4101.91,4103.72,4096.80,4099.38,0.09632676
1785456000,4097.50,4097.50,4084.22,4086.80,0.58944449
1785459600,4092.48,4092.48,4076.48,4076.83,3.02447361
1785463200,4079.02,4083.68,4070.98,4070.98,2.82650259
1785466800,4068.68,4069.97,4068.14,4069.10,2.04861249
1785470400,4069.20,4081.00,4068.20,4071.03,27.42809594
1785474000,4075.68,4077.22,4069.31,4069.31,0.70483647
1785477600,4068.87,4079.81,4067.97,4073.56,40.38134488
1785481200,4071.52,4072.73,4063.60,4063.60,1.58315334
1785484800,4060.41,4060.41,4049.68,4058.34,14.34433491
1785488400,4056.02,4056.36,4047.72,4051.71,9.52227084
1785492000,4050.98,4053.30,4049.30,4050.83,0.72123097
1785495600,4050.56,4054.26,4047.84,4050.72,1.47860980
1785499200,4050.15,4054.10,4037.56,4037.56,1.52749182
1785502800,4035.14,4040.17,4020.17,4025.00,24.55253608
1785506400,4025.00,4045.49,4019.60,4045.08,14.55146105
1785510000,4044.87,4045.92,4035.06,4040.44,6.42505551
1785513600,4039.31,4043.83,4037.50,4039.60,1.87378663
1785517200,4039.60,4049.05,4039.31,4047.79,3.03836464
1785520800,4049.67,4049.67,4042.69,4044.16,3.01255401
1785524400,4045.91,4048.39,4042.44,4048.39,0.59379792
1785528000,4046.36,4046.99,4041.00,4041.00,21.54981909
1785531600,4039.30,4044.87,4036.45,4042.92,16.61864091
1785535200,4043.49,4045.06,4042.55,4045.06,0.03748950
1785538800,4045.08,4045.35,4042.63,4043.75,0.88382939
1785542400,4042.47,4043.90,4040.87,4042.67,3.17064752
1785546000,4042.35,4042.63,4040.80,4041.95,0.29080005
1785549600,4041.53,4043.09,4040.53,4042.33,2.10487333
1785553200,4042.97,4043.07,4040.44,4041.35,1.79820222
1785556800,4041.35,4041.99,4040.30,4041.99,0.01554159
1785560400,4042.03,4042.70,4041.00,4042.32,0.11130912
1785564000,4042.33,4042.33,4041.60,4042.13,0.94738293
1785567600,4041.93,4042.43,4041.57,4041.72,0.06499189
1785571200,4042.34,4043.58,4041.64,4043.37,0.51225361
1785574800,4043.75,4044.18,4042.81,4042.93,7.94627862
1785578400,4043.89,4043.89,4041.70,4042.38,0.18843085
1785582000,4041.89,4042.69,4041.27,4042.53,0.42212482
1785585600,4042.71,4043.01,4042.00,4042.83,0.95593834
1785589200,4043.65,4043.73,4042.17,4042.17,0.19506066
1785592800,4042.50,4043.04,4041.52,4042.00,0.26992211
1785596400,4042.63,4042.69,4041.27,4042.00,0.44881845
1785600000,4041.71,4041.84,4039.87,4039.87,2.10861603
1785603600,4039.87,4039.87,4039.86,4039.87,1.09994262
1785607200,4039.86,4039.86,4033.61,4034.72,7.95929425
1785610800,4041.10,4044.13,4041.10,4043.51,5.45162328
1785614400,4044.12,4047.27,4042.00,4042.00,31.53118767
1785618000,4044.36,4047.17,4044.36,4045.82,0.25011724
1785621600,4045.91,4045.94,4044.24,4045.05,0.57475676
1785625200,4045.48,4045.69,4043.72,4043.72,0.18041519
1785628800,4044.44,4047.56,4042.05,4045.30,9.40261783
1785632400,4046.40,4049.74,4046.39,4049.11,2.24491345
1785636000,4049.07,4051.98,4048.68,4051.98,8.35554750
1785639600,4051.98,4055.51,4051.67,4054.44,0.88330441
1785643200,4054.70,4056.85,4053.89,4054.41,0.78780880
1785646800,4055.70,4056.50,4055.58,4055.70,0.47073673
1785650400,4055.70,4056.35,4055.05,4055.22,1.17894059
1785654000,4055.26,4056.35,4055.00,4055.53,1.57186688
1785657600,4055.09,4055.29,4054.07,4054.30,1.52377263
1785661200,4054.38,4054.84,4054.07,4054.84,0.07997357
1785664800,4055.03,4055.22,4054.32,4055.03,1.17224392
1785668400,4054.88,4055.44,4054.19,4054.81,1.62547498
1785672000,4054.27,4055.70,4054.27,4054.63,1.70432773
1785675600,4055.64,4055.68,4054.56,4055.57,0.54349254
1785679200,4055.51,4057.40,4052.57,4057.27,2.93088885
1785682800,4056.56,4056.56,4054.76,4056.27,0.70637697
1785686400,4057.28,4059.11,4055.99,4058.82,0.71221221
1785690000,4059.07,4064.08,4056.93,4062.74,0.59642500
